Unidade da Federação,1995,1996,1997
Rondônia,2,3,1
Acre,2,7,7
Amazonas,25,26,27
Roraima,1,3,2
Pará,51,36,42
Tocantins,6,5,1
Maranhão,48,39,30
Piauí,5,9,7
Ceará,22,39,22
Rio Grande do Norte,21,21,27
Paraíba,26,15,23
Pernambuco,40,188,116
Alagoas,9,15,9
Sergipe,-,1,-
Bahia,101,92,136
Minas Gerais,89,78,76
Espírito Santo,23,18,25
Rio de Janeiro,256,363,366
São Paulo,376,495,485
Paraná,39,57,51
Santa Catarina,5,10,13
Rio Grande do Sul,45,49,66
Mato Grosso do Sul,8,6,8
Mato Grosso,3,1,4
Goiás,32,16,26
Distrito Federal,3,7,7
